Dataset,Description
26829,Area of inferiorparietal (right hemisphere)
26729,Area of inferiortemporal (left hemisphere)
26830,Area of inferiortemporal (right hemisphere)
26754,Area of insula (left hemisphere)
26855,Area of insula (right hemisphere)
26730,Area of isthmuscingulate (left hemisphere)
26831,Area of isthmuscingulate (right hemisphere)
26731,Area of lateraloccipital (left hemisphere)
26832,Area of lateraloccipital (right hemisphere)
26732,Area of lateralorbitofrontal (left hemisphere)
26833,Area of lateralorbitofrontal (right hemisphere)
26733,Area of lingual (left hemisphere)
26834,Area of lingual (right hemisphere)
26734,Area of medialorbitofrontal (left hemisphere)
26835,Area of medialorbitofrontal (right hemisphere)
26735,Area of middletemporal (left hemisphere)
26836,Area of middletemporal (right hemisphere)
26737,Area of paracentral (left hemisphere)
26838,Area of paracentral (right hemisphere)
26736,Area of parahippocampal (left hemisphere)
26837,Area of parahippocampal (right hemisphere)
26738,Area of parsopercularis (left hemisphere)
26839,Area of parsopercularis (right hemisphere)
26739,Area of parsorbitalis (left hemisphere)
26840,Area of parsorbitalis (right hemisphere)
26740,Area of parstriangularis (left hemisphere)
26841,Area of parstriangularis (right hemisphere)
26741,Area of pericalcarine (left hemisphere)
26842,Area of pericalcarine (right hemisphere)
26742,Area of postcentral (left hemisphere)
26843,Area of postcentral (right hemisphere)
26743,Area of posteriorcingulate (left hemisphere)
26844,Area of posteriorcingulate (right hemisphere)
26744,Area of precentral (left hemisphere)
26845,Area of precentral (right hemisphere)
26745,Area of precuneus (left hemisphere)
26846,Area of precuneus (right hemisphere)
26746,Area of rostralanteriorcingulate (left hemisphere)
26847,Area of rostralanteriorcingulate (right hemisphere)
26747,Area of rostralmiddlefrontal (left hemisphere)
26848,Area of rostralmiddlefrontal (right hemisphere)
26748,Area of superiorfrontal (left hemisphere)
26849,Area of superiorfrontal (right hemisphere)
26749,Area of superiorparietal (left hemisphere)
26850,Area of superiorparietal (right hemisphere)
26750,Area of superiortemporal (left hemisphere)
26851,Area of superiortemporal (right hemisphere)
26751,Area of supramarginal (left hemisphere)
26852,Area of supramarginal (right hemisphere)
26753,Area of transversetemporal (left hemisphere)
26854,Area of transversetemporal (right hemisphere)
26755,Mean thickness of GlobalMeanMean thickness (left hemisphere)
26856,Mean thickness of GlobalMeanMean thickness (right hemisphere)
26756,Mean thickness of bankssts (left hemisphere)
26857,Mean thickness of bankssts (right hemisphere)
26757,Mean thickness of caudalanteriorcingulate (left hemisphere)
26858,Mean thickness of caudalanteriorcingulate (right hemisphere)
26758,Mean thickness of caudalmiddlefrontal (left hemisphere)
26859,Mean thickness of caudalmiddlefrontal (right hemisphere)
26759,Mean thickness of cuneus (left hemisphere)
26860,Mean thickness of cuneus (right hemisphere)
26760,Mean thickness of entorhinal (left hemisphere)
26861,Mean thickness of entorhinal (right hemisphere)
26786,Mean thickness of frontalpole (left hemisphere)
26887,Mean thickness of frontalpole (right hemisphere)
26761,Mean thickness of fusiform (left hemisphere)
26862,Mean thickness of fusiform (right hemisphere)
26762,Mean thickness of inferiorparietal (left hemisphere)
26863,Mean thickness of inferiorparietal (right hemisphere)
26763,Mean thickness of inferiortemporal (left hemisphere)
26864,Mean thickness of inferiortemporal (right hemisphere)
26788,Mean thickness of insula (left hemisphere)
26889,Mean thickness of insula (right hemisphere)
26764,Mean thickness of isthmuscingulate (left hemisphere)
26865,Mean thickness of isthmuscingulate (right hemisphere)
26765,Mean thickness of lateraloccipital (left hemisphere)
26866,Mean thickness of lateraloccipital (right hemisphere)
26766,Mean thickness of lateralorbitofrontal (left hemisphere)
26867,Mean thickness of lateralorbitofrontal (right hemisphere)
26767,Mean thickness of lingual (left hemisphere)
26868,Mean thickness of lingual (right hemisphere)
26768,Mean thickness of medialorbitofrontal (left hemisphere)
26869,Mean thickness of medialorbitofrontal (right hemisphere)
26769,Mean thickness of middletemporal (left hemisphere)
26870,Mean thickness of middletemporal (right hemisphere)
26771,Mean thickness of paracentral (left hemisphere)
26872,Mean thickness of paracentral (right hemisphere)
26770,Mean thickness of parahippocampal (left hemisphere)
26871,Mean thickness of parahippocampal (right hemisphere)
26772,Mean thickness of parsopercularis (left hemisphere)
26873,Mean thickness of parsopercularis (right hemisphere)
26773,Mean thickness of parsorbitalis (left hemisphere)
26874,Mean thickness of parsorbitalis (right hemisphere)
26774,Mean thickness of parstriangularis (left hemisphere)
26875,Mean thickness of parstriangularis (right hemisphere)
26775,Mean thickness of pericalcarine (left hemisphere)
26876,Mean thickness of pericalcarine (right hemisphere)
26776,Mean thickness of postcentral (left hemisphere)
26877,Mean thickness of postcentral (right hemisphere)
26777,Mean thickness of posteriorcingulate (left hemisphere)
26878,Mean thickness of posteriorcingulate (right hemisphere)
26778,Mean thickness of precentral (left hemisphere)
26879,Mean thickness of precentral (right hemisphere)
26779,Mean thickness of precuneus (left hemisphere)
26880,Mean thickness of precuneus (right hemisphere)
26780,Mean thickness of rostralanteriorcingulate (left hemisphere)
26881,Mean thickness of rostralanteriorcingulate (right hemisphere)
26781,Mean thickness of rostralmiddlefrontal (left hemisphere)
26882,Mean thickness of rostralmiddlefrontal (right hemisphere)
26782,Mean thickness of superiorfrontal (left hemisphere)
26883,Mean thickness of superiorfrontal (right hemisphere)
26783,Mean thickness of superiorparietal (left hemisphere)
26884,Mean thickness of superiorparietal (right hemisphere)
26784,Mean thickness of superiortemporal (left hemisphere)
26885,Mean thickness of superiortemporal (right hemisphere)
26785,Mean thickness of supramarginal (left hemisphere)
26886,Mean thickness of supramarginal (right hemisphere)
26787,Mean thickness of transversetemporal (left hemisphere)
26888,Mean thickness of transversetemporal (right hemisphere)
26789,Volume of bankssts (left hemisphere)
26890,Volume of bankssts (right hemisphere)
26790,Volume of caudalanteriorcingulate (left hemisphere)
26891,Volume of caudalanteriorcingulate (right hemisphere)
26791,Volume of caudalmiddlefrontal (left hemisphere)
26892,Volume of caudalmiddlefrontal (right hemisphere)
26792,Volume of cuneus (left hemisphere)
26893,Volume of cuneus (right hemisphere)
26793,Volume of entorhinal (left hemisphere)
26894,Volume of entorhinal (right hemisphere)
26819,Volume of frontalpole (left hemisphere)
26920,Volume of frontalpole (right hemisphere)
26794,Volume of fusiform (left hemisphere)
26895,Volume of fusiform (right hemisphere)
26795,Volume of inferiorparietal (left hemisphere)
26896,Volume of inferiorparietal (right hemisphere)
26796,Volume of inferiortemporal (left hemisphere)
26897,Volume of inferiortemporal (right hemisphere)
26821,Volume of insula (left hemisphere)
26922,Volume of insula (right hemisphere)
26797,Volume of isthmuscingulate (left hemisphere)
26898,Volume of isthmuscingulate (right hemisphere)
26798,Volume of lateraloccipital (left hemisphere)
26899,Volume of lateraloccipital (right hemisphere)
26799,Volume of lateralorbitofrontal (left hemisphere)
26900,Volume of lateralorbitofrontal (right hemisphere)
26800,Volume of lingual (left hemisphere)
26901,Volume of lingual (right hemisphere)
26801,Volume of medialorbitofrontal (left hemisphere)
26902,Volume of medialorbitofrontal (right hemisphere)
26802,Volume of middletemporal (left hemisphere)
26903,Volume of middletemporal (right hemisphere)
26804,Volume of paracentral (left hemisphere)
26905,Volume of paracentral (right hemisphere)
26803,Volume of parahippocampal (left hemisphere)
26904,Volume of parahippocampal (right hemisphere)
26805,Volume of parsopercularis (left hemisphere)
26906,Volume of parsopercularis (right hemisphere)
26806,Volume of parsorbitalis (left hemisphere)
26907,Volume of parsorbitalis (right hemisphere)
26807,Volume of parstriangularis (left hemisphere)
26908,Volume of parstriangularis (right hemisphere)
26808,Volume of pericalcarine (left hemisphere)
26909,Volume of pericalcarine (right hemisphere)
26809,Volume of postcentral (left hemisphere)
26910,Volume of postcentral (right hemisphere)
26810,Volume of posteriorcingulate (left hemisphere)
26911,Volume of posteriorcingulate (right hemisphere)
26811,Volume of precentral (left hemisphere)
26912,Volume of precentral (right hemisphere)
26812,Volume of precuneus (left hemisphere)
26913,Volume of precuneus (right hemisphere)
26813,Volume of rostralanteriorcingulate (left hemisphere)
26914,Volume of rostralanteriorcingulate (right hemisphere)
26814,Volume of rostralmiddlefrontal (left hemisphere)
26915,Volume of rostralmiddlefrontal (right hemisphere)
26815,Volume of superiorfrontal (left hemisphere)
26916,Volume of superiorfrontal (right hemisphere)
26816,Volume of superiorparietal (left hemisphere)
26917,Volume of superiorparietal (right hemisphere)
26817,Volume of superiortemporal (left hemisphere)
26918,Volume of superiortemporal (right hemisphere)
26818,Volume of supramarginal (left hemisphere)
26919,Volume of supramarginal (right hemisphere)
26820,Volume of transversetemporal (left hemisphere)
26921,Volume of transversetemporal (right hemisphere)
26684,Volume of AV (left hemisphere)
26710,Volume of AV (right hemisphere)
26602,Volume of Accessory-Basal-nucleus (left hemisphere)
26612,Volume of Accessory-Basal-nucleus (right hemisphere)
26603,Volume of Anterior-amygdaloid-area-AAA (left hemisphere)
26613,Volume of Anterior-amygdaloid-area-AAA (right hemisphere)
26601,Volume of Basal-nucleus (left hemisphere)
26611,Volume of Basal-nucleus (right hemisphere)
26622,Volume of CA1-body (left hemisphere)
26644,Volume of CA1-body (right hemisphere)
26626,Volume of CA1-head (left hemisphere)
26648,Volume of CA1-head (right hemisphere)
26632,Volume of CA3-body (left hemisphere)
26654,Volume of CA3-body (right hemisphere)
26637,Volume of CA3-head (left hemisphere)
26659,Volume of CA3-head (right hemisphere)
26635,Volume of CA4-body (left hemisphere)
26657,Volume of CA4-body (right hemisphere)
26634,Volume of CA4-head (left hemisphere)
26656,Volume of CA4-head (right hemisphere)
26681,Volume of CL (left hemisphere)
26706,Volume of CL (right hemisphere)
26670,Volume of CM (left hemisphere)
26694,Volume of CM (right hemisphere)
26677,Volume of CeM (left hemisphere)
26703,Volume of CeM (right hemisphere)
26604,Volume of Central-nucleus (left hemisphere)
26614,Volume of Central-nucleus (right hemisphere)
26606,Volume of Cortical-nucleus (left hemisphere)
26616,Volume of Cortical-nucleus (right hemisphere)
26607,Volume of Corticoamygdaloid-transitio (left hemisphere)
26617,Volume of Corticoamygdaloid-transitio (right hemisphere)
26633,Volume of GC-ML-DG-body (left hemisphere)
26655,Volume of GC-ML-DG-body (right hemisphere)
26631,Volume of GC-ML-DG-head (left hemisphere)
26653,Volume of GC-ML-DG-head (right hemisphere)
26638,Volume of HATA (left hemisphere)
26660,Volume of HATA (right hemisphere)
26620,Volume of Hippocampal-tail (left hemisphere)
26642,Volume of Hippocampal-tail (right hemisphere)
26668,Volume of L-Sg (left hemisphere)
26692,Volume of L-Sg (right hemisphere)
26712,Volume of LD (left hemisphere)
26713,Volume of LD (right hemisphere)
26665,Volume of LGN (left hemisphere)
26688,Volume of LGN (right hemisphere)
26687,Volume of LP (left hemisphere)
26711,Volume of LP (right hemisphere)
26600,Volume of Lateral-nucleus (left hemisphere)
26610,Volume of Lateral-nucleus (right hemisphere)
26676,Volume of MDl (left hemisphere)
26700,Volume of MDl (right hemisphere)
26673,Volume of MDm (left hemisphere)
26697,Volume of MDm (right hemisphere)
26664,Volume of MGN (left hemisphere)
26689,Volume of MGN (right hemisphere)
26679,Volume of MV(Re) (left hemisphere)
26702,Volume of MV(Re) (right hemisphere)
26605,Volume of Medial-nucleus (left hemisphere)
26615,Volume of Medial-nucleus (right hemisphere)
26716,Volume of Medulla (whole brain)
26719,Volume of Midbrain (whole brain)
26608,Volume of Paralaminar-nucleus (left hemisphere)
26618,Volume of Paralaminar-nucleus (right hemisphere)
26685,Volume of Pc (left hemisphere)
26708,Volume of Pc (right hemisphere)
26674,Volume of Pf (left hemisphere)
26698,Volume of Pf (right hemisphere)
26717,Volume of Pons (whole brain)
26683,Volume of Pt (left hemisphere)
26709,Volume of Pt (right hemisphere)
26672,Volume of PuA (left hemisphere)
26696,Volume of PuA (right hemisphere)
26666,Volume of PuI (left hemisphere)
26690,Volume of PuI (right hemisphere)
26682,Volume of PuL (left hemisphere)
26705,Volume of PuL (right hemisphere)
26667,Volume of PuM (left hemisphere)
26691,Volume of PuM (right hemisphere)
26718,Volume of SCP (whole brain)
26678,Volume of VA (left hemisphere)
26701,Volume of VA (right hemisphere)
26675,Volume of VAmc (left hemisphere)
26699,Volume of VAmc (right hemisphere)
26671,Volume of VLa (left hemisphere)
26695,Volume of VLa (right hemisphere)
26686,Volume of VLp (left hemisphere)
26707,Volume of VLp (right hemisphere)
26680,Volume of VM (left hemisphere)
26704,Volume of VM (right hemisphere)
26669,Volume of VPL (left hemisphere)
26693,Volume of VPL (right hemisphere)
26609,Volume of Whole-amygdala (left hemisphere)
26619,Volume of Whole-amygdala (right hemisphere)
26720,Volume of Whole-brainstem (whole brain)
26639,Volume of Whole-hippocampal-body (left hemisphere)
26661,Volume of Whole-hippocampal-body (right hemisphere)
26640,Volume of Whole-hippocampal-head (left hemisphere)
26662,Volume of Whole-hippocampal-head (right hemisphere)
26641,Volume of Whole-hippocampus (left hemisphere)
26663,Volume of Whole-hippocampus (right hemisphere)
26714,Volume of Whole-thalamus (left hemisphere)
26715,Volume of Whole-thalamus (right hemisphere)
26636,Volume of fimbria (left hemisphere)
26658,Volume of fimbria (right hemisphere)
26624,Volume of hippocampal-fissure (left hemisphere)
26646,Volume of hippocampal-fissure (right hemisphere)
26630,Volume of molecular-layer-HP-body (left hemisphere)
26652,Volume of molecular-layer-HP-body (right hemisphere)
26629,Volume of molecular-layer-HP-head (left hemisphere)
26651,Volume of molecular-layer-HP-head (right hemisphere)
26628,Volume of parasubiculum (left hemisphere)
26650,Volume of parasubiculum (right hemisphere)
26627,Volume of presubiculum-body (left hemisphere)
26649,Volume of presubiculum-body (right hemisphere)
26625,Volume of presubiculum-head (left hemisphere)
26647,Volume of presubiculum-head (right hemisphere)
26621,Volume of subiculum-body (left hemisphere)
26643,Volume of subiculum-body (right hemisphere)
26623,Volume of subiculum-head (left hemisphere)
26645,Volume of subiculum-head (right hemisphere)
